Dates,AAPL,ABBV,ABT,ACN,ADBE,AGN,AIG,AMGN,AMZN,AVGO,AXP,BA,BAC,BIIB,BLK,BMY,C,CAT,CB,CELG,CHTR,CL,CMCSA,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EOG,FB,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,PNC,PYPL,QCOM,RAI,SBUX,SCHW,SLB,SPG,T,TJX,TMO,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM
01/03/17,114.7153778,60.19257443,38.17044332,114.1537417,103.48,214.2472613,64.12549506,147.6361758,753.67,176.0492544,74.16224572,152.6684428,22.27700824,291.71,379.4070234,57.87298973,59.71524461,91.25808663,129.7448897,118.75,285.77,64.09753927,34.10290382,49.49362005,158.3452854,70.54,29.48496567,78.32386568,114.3815667,72.57543396,78.39258094,105.2853933,56.38627871,75.31148491,102.8318432,116.86,27.63733131,28.35444145,172.5059918,30.8704735,72.55265493,34.06371243,786.14,808.01,239.2982301,131.9449566,114.4258852,160.9398519,35.39192252,112.9250873,85.30239511,85.76065909,40.77039435,73.15845319,248.5089369,69.57976587,104.6185889,117.3218135,44.22408045,69.46438474,52.67284789,174.8319431,65.84958952,58.85385894,42.22323696,61.21914184,116.2542823,127.49,51.46547827,101.6888494,38.09008814,1477.57,102.5100354,31.75623568,81.6459707,88.7794729,116.1838502,40.25,62.93606899,55.27607494,54.33767356,39.89023395,82.37192767,174.8264971,40.94250704,74.56690758,143.2995168,95.21940283,71.75281958,159.5812858,100.8117081,112.4516727,50.62485363,108.9292298,79.08171479,53.35930858,81.82116289,54.46430316,67.29121539,87.56724124
01/04/17,114.5869835,61.04130806,38.47346093,114.4281969,104.14,213.6229226,64.96251396,149.732251,757.18,174.7955673,75.37285703,154.2732267,22.69229201,294.05,379.6328433,57.95086759,60.52340603,90.85029435,129.5577245,118.55,291.55,64.80169289,34.50789124,49.95325256,158.3750253,72.8,29.31118395,77.7389955,114.3524496,73.12756334,78.89012207,106.635206,56.8365858,75.23397406,102.911296,118.69,27.8840932,28.65062295,172.5944816,30.88021489,74.72453861,35.94375801,786.9,807.77,240.8435596,133.1140021,114.7410538,162.932468,35.20819397,112.7398683,85.45885943,85.27076614,40.6240891,73.27613435,249.1760487,70.42315697,105.6112693,117.1845032,44.17477824,70.11367654,52.96396533,175.0970631,66.06379786,58.83428991,42.78229028,60.94523069,116.5970131,129.41,52.54468895,104.0613566,38.27782139,1487.29,102.7059457,32.03530563,81.93687083,87.99123029,117.1687094,41,63.00343176,54.54785177,54.96596825,40.90237421,82.98388893,176.2241901,40.70457988,75.7232135,144.7856745,95.17019892,71.66505451,160.0359615,101.4213771,112.4809875,50.9986866,108.9980292,79.72829485,53.30065049,81.84088834,54.512932,67.68324111,86.60379926
01/05/17,115.1696961,61.50425367,38.80580281,112.7128521,105.91,218.845565,64.59816456,149.8399931,780.45,172.0414044,74.44379218,154.3607603,22.42532387,293.57,375.5877202,58.92096159,59.46885393,90.29686197,128.6810032,118.76,296.17,65.37870767,34.64617963,49.80656133,161.4977176,72.79,29.37934949,79.36688418,113.8574593,72.77262303,79.61653213,106.5756554,56.5820644,75.33086263,103.467466,120.67,27.97292748,28.63087751,173.1844137,30.70486982,74.362558,35.26539105,794.02,813.02,239.0505812,131.5421763,114.9971282,162.3934028,35.15017442,113.9194207,84.67221707,84.7808732,40.72162593,74.12932275,251.1283316,69.69744835,106.4252673,117.4002765,44.37198707,69.68081534,52.23617174,174.4980882,66.1416918,58.81472088,42.38997216,60.94523069,116.528467,131.81,52.53478794,101.4196994,38.17901442,1503.7,102.5688085,32.34324488,82.47988442,88.68215899,115.6027832,41.06,63.08041777,54.31167128,55.42737216,40.65430062,82.85761121,176.5305338,40.59037484,75.25871454,145.0051072,93.5759923,71.10920908,160.3028363,100.4282067,112.5396172,50.14280586,109.4403116,80.66334909,53.41796667,81.89020196,53.66679015,67.83025076,85.31278701
01/06/17,116.4536392,61.52354307,39.86147705,113.9969102,108.3,217.111291,65.78968558,153.5619958,795.99,174.3217328,74.59204721,154.7400729,22.42532387,295,377.315734,58.74458086,59.6758221,90.33569933,129.3705593,119.64,298.16,65.87748315,34.70544608,49.62075244,161.4184112,73.8,29.4377771,80.12721542,113.4012919,72.34866654,80.03446668,108.1636704,56.22965016,75.07895235,104.4904213,123.41,28.47632173,29.14425876,174.4822645,30.79254236,73.85382849,34.87775278,806.15,825.21,242.5969142,131.1786915,116.7404043,163.1923745,35.27588343,113.3735122,84.6820501,84.5653203,40.71187225,74.20777685,252.9628889,69.57976587,107.1912029,118.4399113,44.43114972,71.68771727,52.57580875,175.0086898,66.43379407,58.97127313,43.00787319,61.47348791,116.1857362,131.07,53.37637425,102.7754178,37.99128117,1520.57,102.4218758,32.21814456,82.4507944,89.3730877,117.2474982,41.45,63.06117127,54.4789658,56.08511816,40.91229716,84.00382436,178.8568309,39.79093955,75.09070428,146.8902334,93.24140573,72.30866502,160.5301742,101.4705439,112.7643642,50.46745028,110.6197312,81.77745626,52.63292591,81.95924104,53.53062939,66.89918966,85.26461491
01/09/17,117.5202997,61.92862048,39.822378,112.7226541,108.57,218.122125,65.36625249,155.5797131,796.92,174.6968518,74.97751028,153.9814478,22.29678366,299.02,373.5062491,58.52900442,59.35058641,89.68517355,128.5627936,120.21,296.26,64.95817148,34.98202285,48.56457561,159.5745357,73.96,29.38908743,79.6398236,112.4307228,72.68388795,80.19367984,107.5483146,56.57227512,74.25539951,102.3153997,124.9,28.39735793,29.09489518,173.1155883,30.64642147,74.19624258,34.8971347,806.65,827.18,240.6058166,131.9449566,115.7752006,161.3826555,35.40159245,113.3540154,84.74104828,84.33017169,40.30221757,74.79618264,252.923647,69.69744835,106.9823114,118.1162514,44.06631338,72.62230395,52.11002085,174.0660407,66.16116528,59.78338789,41.88976657,61.27783709,115.8919669,130.95,52.85162043,106.9422582,38.56436162,1529.64,101.3443695,32.20852146,81.83990412,88.85732402,116.4103678,41.4,63.1766503,54.82339567,57.13554835,40.80314477,83.31415373,177.9760929,39.29018233,75.20929976,147.1096661,92.06051194,72.49394683,160.0754985,100.7133744,112.1487528,50.24118296,109.587739,81.31987653,52.05975473,81.41679119,52.75256792,67.3402186,83.85798963
01/10/17,117.6388175,61.79359468,40.35998988,112.7814659,108.26,219.2617908,66.17372955,155.5013552,795.9,178.2506105,75.7583201,154.710895,22.6824043,297.79,373.3982482,58.77397765,59.36044203,91.10273719,128.5135396,119.98,298.2,63.9508406,35.02647269,48.56457561,160.258554,73.98,29.58384612,80.58536374,111.576622,72.5261367,80.7011718,107.5681648,56.4548037,74.11975551,102.6928007,124.35,28.54541506,29.29234951,173.4007222,30.55874893,73.38423202,36.19572288,804.79,826.01,240.2888259,133.7034368,116.0706711,159.3322824,35.33390298,113.237035,84.98687402,84.17340594,40.02911445,74.79618264,251.3147304,69.83474457,106.7535254,117.9397097,43.55357042,73.68478144,52.33321089,173.3885117,65.9372202,58.62881509,42.23304492,61.258272,116.11719,129.89,52.58429302,106.1348083,38.19877581,1535.25,99.88483814,32.17965215,80.95750705,88.08854419,116.8732517,41.08,63.15740379,54.92180421,56.821401,40.87260538,82.17765426,176.3294957,39.29981227,75.7923942,147.3989183,91.91290021,72.74749036,159.7097811,101.6967114,111.3181661,50.3887486,109.3518551,80.88219157,52.13881282,81.53514388,53.12214712,66.86978774,82.78856904
01/11/17,118.2709125,59.58495832,40.41375107,113.8204747,108.99,214.296812,65.92754752,153.4052799,799.02,177.115382,76.01529549,155.0318518,22.81094452,287.11,374.0266169,55.65791815,59.0943401,91.89890307,128.4150316,117.24,299.54,63.87260131,35.41664349,50.09016437,160.1395943,75.77,29.35987362,80.6828421,112.518074,72.98953099,80.94994236,108.6202247,57.03237149,74.70108693,104.2024048,126.09,29.05867978,29.69713088,174.0988086,30.65616286,72.1711078,36.77718028,807.91,829.86,243.4488266,133.3104803,116.2282554,161.4789171,35.73036987,111.8430185,85.62602094,85.00622395,40.03886813,73.80569956,250.2944419,69.88377894,107.240939,118.5576059,44.44101016,73.23224473,52.81840661,174.6748349,65.86906301,60.30196719,42.83133004,61.81587684,116.9299516,130.5,52.16845037,104.8289325,38.64340719,1536.11,99.72810994,31.59264295,81.2096205,88.01069307,119.4929774,41.28,63.60969664,54.91196336,57.0373773,41.00160365,83.20730336,174.2233831,39.10721334,75.3377782,145.8429411,92.1884421,73.33259082,160.0161929,102.5325479,111.5722279,50.94949805,109.0963142,81.36961346,51.84234497,83.2709834,53.29721095,67.16380703,83.63639797
1/13/2017,117.7770883,59.72139754,40.05958966,113.4872078,108.59,214.296812,65.23823784,152.1711422,813.64,176.5625751,75.98564448,153.9522699,22.66262889,287.77,371.4149597,55.41294492,58.37487932,91.25808663,127.853536,117.08,297.19,64.40071653,35.27341624,49.04376695,160.4667335,75.21,29.25275634,80.51712888,112.7413049,73.06840662,80.89023743,106.7245318,57.06173934,75.12739663,104.816178,126.62,28.70334267,29.43056754,173.5580374,30.57823172,71.76999414,36.35077819,806.36,829.53,241.5468826,132.6915739,115.8539927,161.6714404,35.49829169,111.7357864,84.80004646,85.65288264,39.9413313,75.6591778,247.8320147,70.19759888,108.1361885,119.7541667,44.26352222,73.89137428,52.31380306,174.2329681,65.73274861,60.86946908,42.79209823,61.24848946,117.0180824,129.18,51.88132092,103.1143474,38.73233347,1538.59,99.75749648,31.37131161,81.29689054,88.0788128,116.6861284,41.56,63.62894315,54.85291823,56.96865757,40.94206599,82.88675222,175.2764394,39.49241121,75.0412895,145.5935857,92.35573538,72.99128222,160.4807529,102.9553828,111.3083945,50.5953405,108.9194013,80.94187588,52.05975473,82.76798445,53.0054379,66.61497101,83.18358025
1/13/2017,117.5696821,60.41333932,40.26618382,114.6340382,108.53,214.1977106,65.33671065,152.9155427,817.14,178.1321518,75.7286691,154.4774719,22.75161827,284.75,372.4556952,55.08958025,58.76910441,91.73384429,128.3066728,117.48,298.43,64.43005626,35.94016381,49.47406122,160.4568202,75.64,29.28197014,79.91276302,112.9548301,72.56557451,80.95989319,107.2505618,56.5820644,74.80766435,104.8360729,128.34,28.87114075,29.6477673,174.9050492,30.54900754,71.48627961,36.18603192,807.88,830.94,242.0025567,132.6621022,116.2873495,161.0842444,35.57565108,111.7162897,85.25236581,85.27076614,39.87305552,75.90434688,249.7058139,70.75659066,108.1262412,119.1656942,43.97756941,73.87169877,52.70195964,174.1838718,65.80090581,60.99666777,42.96864138,61.33653233,116.5774285,133.7,52.39617372,103.1043789,38.79161765,1545.82,99.47342662,31.2943268,81.46173395,87.97176751,117.5370575,41.6,64.36031031,55.07925787,56.79194969,41.09091014,82.39135502,176.1571774,39.44426147,75.0412895,145.9127606,92.64111805,73.13755733,159.9272347,103.4962181,111.6308576,50.85112095,108.3296915,80.74292817,51.93128533,82.6693572,53.79322514,65.791717,83.19321467
1/17/2017,118.5178247,60.28664575,40.23667037,113.732257,108,212.8499319,65.0511395,151.6226365,809.72,176.8093639,75.70890176,153.3492602,21.80239821,283.01,367.9883869,55.14837383,57.53715102,90.85029435,129.035632,114.95,306.14,65.62320545,35.83644752,49.04376695,162.3899155,75.02,29.20406666,81.80384329,112.8577732,71.94442897,80.51210617,107.161236,56.12196803,75.04988578,104.9255998,127.87,28.87114075,29.54904014,173.0172663,30.461335,70.35142147,36.15695905,804.61,827.46,233.5230566,133.5364303,115.460032,161.6136834,35.58532101,111.9794956,82.15496152,86.14277559,40.20468074,75.3649749,249.3035847,70.98214874,107.8278248,120.3916787,44.27338266,74.58985485,51.96446214,174.0562214,66.67721263,60.15519947,41.34052121,61.17022913,117.7231286,132.89,53.11894785,100.7916828,38.6335265,1540.13,100.1003394,30.85166412,82.62533448,89.87911999,112.7283186,41.27,61.77165548,56.76204384,56.93920626,40.01923222,83.955256,177.420845,39.58871067,75.85169194,144.6759582,93.35949511,72.64022194,158.8004297,101.6475446,111.4647402,49.49351703,108.083979,80.83245464,52.1190483,83.06386619,52.30518257,67.05599995,84.16629106
